"","WINP","PTS","FGP","TPP","FTP","REB","AST","TOV","STL","BLK"
"315",0.512,106.5,45.7,36.8,80.9,40.5,21.4,13.7,7.6,5.8
"316",0.5,99,46.1,35.5,77,41.8,22.7,13,7.6,4.3
"317",0.488,105,47,37.7,75.9,40.2,23.7,14.3,6.6,4.4
"318",0.476,99.4,46.5,34.6,77.1,39.5,23.4,14.3,7.7,5.9
"319",0.451,99.8,44.2,35.4,78.2,43.5,19.6,15.4,7.1,5.6
"320",0.439,103.4,46.1,39.2,76.1,40.5,22.5,14.6,9,5
"321",0.427,91.9,43,34.2,75.7,40.8,18.8,13.5,7.5,4.9
"322",0.415,93.3,45.1,32.7,75.6,40.1,21.1,14.5,6.4,5.3
"323",0.39,98.6,45.7,33.8,70.7,42.1,22.1,16.4,7.1,4.9
"324",0.366,97,46,37.6,73.7,38.6,21.1,13,7.3,4
"325",0.293,94.2,44,34.3,75.9,40.8,21,14,5.6,4.7
"326",0.293,99.4,44.9,33.5,73.4,43.9,20.4,16.1,7.4,4.8
"327",0.28,97.3,44.3,33.2,74.5,41.3,19.4,15.3,8.1,6.1
"328",0.268,99.1,46.5,31.6,75.5,40.3,21.9,14.7,7.1,4.3
"329",0.232,95.5,43.4,34.2,74.5,40.3,21,14.2,6.6,4.2
"330",0.207,101.1,44.1,37.6,76.8,44.4,20.1,17,7.2,5.1
"331",0.744,102.1,48.5,38.1,72,42.5,22.4,13.9,6.9,5.2
"332",0.72,102.8,47,37.5,72.4,43.2,19.7,14.1,6.2,5.6
"333",0.695,101.7,45.7,34.1,76.5,44.3,21.1,13.4,7.5,4.9
"334",0.671,102,46.4,37.2,81.6,41.7,23.4,12.9,7.6,5.5
"335",0.659,110.2,49.2,41.2,77,43,23.3,14.8,5.8,5.1
"336",0.646,101.7,46.8,36,75.9,41.7,21.8,12,7.2,5
"337",0.646,106.5,46.8,35.9,77.2,41.4,21,13.9,8.3,5.1
"338",0.646,104.2,49.1,36.4,74.1,42.2,26.7,15.2,8.2,4.9
"339",0.61,99.2,48.3,34.8,74.6,38.6,23.5,14.9,8.5,4.9
"340",0.61,101.5,46.2,34,80.5,43.5,20,15,8,5.9
"341",0.61,98.1,46.1,35.4,79,40.2,20.4,12.3,6.4,4.3
"342",0.61,101.4,47.3,35.8,74,42.8,22.3,13.6,6.3,4.6
"343",0.573,96.5,45.8,34.6,75.2,41.8,18.9,13.2,7.4,5.6
"344",0.561,97.7,43.6,35.6,75.5,43,21.2,13.2,7.1,4.7
"345",0.537,95.3,45.3,34.6,75.1,40.8,20.2,15.7,7.7,5.4
"346",0.512,102.4,44.7,35.1,77.2,42,21.8,14.5,7.1,3.9
"347",0.5,97.5,45.1,33,75.4,44.5,20.8,14.3,6.5,5.8
"348",0.488,102.5,46.9,33.7,73.3,43.5,18.8,15.2,7.9,4.9
"349",0.488,104.1,48.2,37.1,76.4,40.4,22,13.4,5.7,4.7
"350",0.451,100.2,46.4,36.3,77.8,40.3,22.3,13.5,7.6,3.7
"351",0.39,100.8,44.3,34.8,77.5,41.5,21.1,15,7.1,5.4
"352",0.354,95.7,45.5,33.2,73,41.8,22.1,15.7,6.5,5.7
"353",0.354,102.1,45.5,34.6,78.2,40.4,21.6,14,7.1,3.7
"354",0.329,94,44.5,31.4,72.8,40.2,19.4,13.4,7.3,3.8
"355",0.329,97.7,46,34.3,75.6,41,21,14.5,8.1,5.4
"356",0.317,108.8,46.9,37.5,78.2,38.4,22.4,14.7,9.3,4.1
"357",0.317,96.2,44.9,35.3,76.2,41.8,19,14.9,6,5.1
"358",0.305,100,45.6,34.9,72.6,42.6,20.5,15,6.9,4.5
"359",0.183,98.2,44.9,34.1,74.6,42.9,19.8,16.3,7.3,3.7
"360",0.146,92.4,42.9,31.8,78,39.7,18.8,14.4,7,4.8
"361",0.805,100.3,46.8,39.3,75.7,42.2,20.3,12.7,7.2,5.3
"362",0.793,106.9,47.4,36.1,77,43.9,23.3,13.5,8.8,5.1
"363",0.756,100.9,48.6,39.7,76.5,42.1,22.7,15.6,7.6,4.7
"364",0.72,101,45.7,38.1,71.5,43.3,19.4,13.9,7,5.4
"365",0.659,104.3,47,37.1,76,41.6,22.2,15.3,8.7,6
"366",0.659,99.4,46.5,38.3,76.5,41.7,20.3,12.9,6.7,4.9
"367",0.659,97,46.6,38.6,76.1,41,21.2,11.7,5.8,4
"368",0.646,98.4,45.3,37.5,80.5,43,20.3,14.1,6.7,4.3
"369",0.61,101.7,46.2,35,81.9,42.7,21.7,12.7,7.2,5.2
"370",0.598,95.8,45.7,36.4,80.7,39.7,19.6,12.5,7.2,4.1
"371",0.585,103.6,47.5,34.9,77.1,41,24.7,14.8,8.8,4.6
"372",0.573,98.1,45.8,36.6,73.7,40,20.2,12.8,7.4,4.6
"373",0.561,109.4,50.4,38.3,74.4,41.7,23.2,15.7,7.2,5.1
"374",0.524,98.3,45.7,35.7,75.4,39.5,20.4,12.5,7.9,5.5
"375",0.5,102.2,45.7,38.1,79.6,42.1,21.1,14.5,7.5,5.5
"376",0.5,97.4,45.9,31.8,74.5,41.2,20.1,14.1,8,5.1
"377",0.476,94.2,45.4,34.9,75.1,41.4,20.6,11.9,6,4.6
"378",0.439,105.1,45.5,37.8,80.7,43.7,21.6,14.5,7,5.3
"379",0.427,93.6,45.5,36.6,74,39.7,21.2,15.6,7.1,4.8
"380",0.415,99.3,44.5,36.3,78,40.7,22,14.1,7.4,3.8
"381",0.415,98.1,44.8,37.6,77.9,39.8,20,13.1,6.8,4.8
"382",0.402,99,45.8,37.2,82.4,40.4,22.4,13.4,6.4,4.8
"383",0.39,105.2,44.5,36,78.4,42.1,21.2,14.3,7.4,2.5
"384",0.354,108.6,45.8,37.3,79.1,42,20.9,14.6,7.8,6.4
"385",0.293,93.9,45.4,36,75.6,38.8,17.4,15.3,7.5,4.7
"386",0.293,97.8,44.1,35.3,76.9,41.7,20.4,14.2,6.2,3.9
"387",0.28,97,44.7,34.6,78.6,42.6,20.3,16.2,7.4,4.5
"388",0.232,95.1,44.1,35.4,73.6,39.8,21,14.9,7,5.9
"389",0.232,96.1,45,33,76.7,40.1,20,14,7.5,4.5
"390",0.207,100.6,44.7,36.8,79.8,39.1,19.7,15.4,6.9,4.3
"391",0.805,100.5,47.5,38.1,77.1,42,22.4,15.2,8.5,4.6
"392",0.72,97.5,45.8,36.6,76.7,41.4,22.3,11.7,7.1,5.8
"393",0.695,108.6,47.6,37.8,76.9,44.1,24.4,14.1,8,5.3
"394",0.683,100.9,46.6,38.9,76.9,41.8,21.8,11.9,7.8,3.9
"395",0.683,95.4,45.7,36.9,76.1,41.3,21,12.6,6.4,4.1
"396",0.671,96.7,44.8,34.2,72.6,44.6,21.4,13.7,7.3,5.1
"397",0.671,110.1,50,39.3,78.3,41.5,26.7,14.4,6.5,6.3
"398",0.659,106.2,49.7,37.2,75.9,40.9,26.4,14.6,8.7,4.3
"399",0.634,104.5,47.4,38.6,72.1,42,20.8,14.3,6.3,4.1
"400",0.622,100.4,46.4,35.2,81.4,43,21,12.6,6,4.9
"401",0.61,110.7,47,35.5,75.1,44.1,24.7,14.7,9.2,6.7
"402",0.585,111,45.9,34.8,75.2,43.2,22.4,13.2,9.1,4.6
"403",0.549,96.4,43.9,35.8,71.7,44.6,20,14,7.1,5.2
"404",0.524,98.8,44.6,35.6,78.2,41.6,19.6,13.2,7.7,4.8
"405",0.5,95.4,44.8,37.7,76.7,40.7,21.1,12.9,5.5,4.4
"406",0.5,100.2,46.8,39.2,81.2,40.1,23.8,11.7,7,4.1
"407",0.488,96.6,46,31.7,70.6,41.9,20.4,14.3,8.7,4.9
"408",0.463,102.5,46.4,37.3,79.8,40.1,19.1,16.1,7.9,4.1
"409",0.451,98.2,45.4,35.6,77.2,42.2,22,14.9,7.3,5.5
"410",0.439,104,44.4,37.4,76.8,43.1,22.7,15.1,7.6,5
"411",0.415,95.8,44.3,34.8,73.6,41.9,23.5,15,6.4,4.8
"412",0.402,97.3,43.5,36.3,75.6,43,22.1,14.6,7.7,5.2
"413",0.39,97.1,45.2,36.7,71.4,40.6,21.3,14.7,7.5,4.9
"414",0.317,97,44.9,34.4,73.3,41.7,21.5,14.8,6.6,4.4
"415",0.28,93.8,43.8,32.4,78.1,40.1,21.1,14.4,6.8,4.9
"416",0.28,96.9,43.9,33.7,72.7,42.5,18.7,14.5,6.4,2.6
"417",0.268,100.7,45.4,34.9,72.3,41.6,19.2,15.3,6.1,4.7
"418",0.268,95.6,45.1,35,73.6,41.4,19.9,14.5,7.5,3.7
"419",0.244,97.5,44.4,33.3,77,44.6,21.3,16,6.5,4.9
"420",0.183,91.4,44.3,35.8,72.7,37.6,20,14.7,7.2,4.3
"421",0.817,100,46.7,38.1,80.5,41.9,19.9,13.9,6.8,5
"422",0.744,110.2,49.4,39.9,80.8,40.5,25.9,14.5,6.7,4.8
"423",0.707,98.5,47.4,38.1,75.1,40.7,22.1,13.9,7.2,5.1
"424",0.646,96,45.4,34.4,77.4,40.5,21.6,12.2,7.1,5.8
"425",0.634,97,44.5,37.2,75.3,43.3,20.8,14.2,7.1,4.1
"426",0.622,101.5,47.4,33.5,74.3,42.5,24.7,15.6,7,4.1
"427",0.61,96.8,44.7,35.2,69.6,43.5,20.8,14.4,7.6,4.3
"428",0.598,98.8,45.7,38.8,73.4,43.7,22.3,16,7.8,5.4
